artists/external_urls/spotify,artists/followers/href,artists/followers/total,artists/genres/0,artists/genres/1,artists/genres/2,artists/genres/3,artists/genres/4,artists/genres/5,artists/genres/6,artists/href,artists/id,artists/images/0/height,artists/images/0/url,artists/images/0/width,artists/images/1/height,artists/images/1/url,artists/images/1/width,artists/images/2/height,artists/images/2/url,artists/images/2/width,artists/name,artists/popularity,artists/type,artists/uri,artists/images/3/height,artists/images/3/url,artists/images/3/width,artists/genres/7
https://open.spotify.com/artist/3BmGtnKgCSGYIUhmivXKWX,,7574868,dance pop,neo mellow,pop,pop rock,post-teen pop,talent show,urban contemporary,https://api.spotify.com/v1/artists/3BmGtnKgCSGYIUhmivXKWX,3BmGtnKgCSGYIUhmivXKWX,640,https://i.scdn.co/image/edf21f431930210f657b50c50f1af3835d65447a,640,320,https://i.scdn.co/image/f7a4ef53b6a609ad8ec39e39b6c548aa98a1935f,320,160,https://i.scdn.co/image/25db89294764aa3d4b6782733dc69078efeb59b5,160,Kelly Clarkson,78,artist,spotify:artist:3BmGtnKgCSGYIUhmivXKWX,,,,
https://open.spotify.com/artist/6dJeKm76NjfXBNTpHmOhfO,,6406913,dance pop,electropop,pop,pop rap,post-teen pop,viral pop,,https://api.spotify.com/v1/artists/6dJeKm76NjfXBNTpHmOhfO,6dJeKm76NjfXBNTpHmOhfO,1333,https://i.scdn.co/image/469b6a74f5ddca9560e9f5137842e3772c8576c0,1000,853,https://i.scdn.co/image/e732af47c9b0c55a56a2eb9dc554928212f344bb,640,267,https://i.scdn.co/image/b73fec33c90639d9586681afffcf6773d48a8103,200,Selena Gomez & The Scene,71,artist,spotify:artist:6dJeKm76NjfXBNTpHmOhfO,85,https://i.scdn.co/image/ed02316da670954a09d1283204724e7987408611,64,
https://open.spotify.com/artist/2gsggkzM5R49q6jpPvazou,,8509609,dance pop,electropop,pop,pop rap,post-teen pop,viral pop,,https://api.spotify.com/v1/artists/2gsggkzM5R49q6jpPvazou,2gsggkzM5R49q6jpPvazou,640,https://i.scdn.co/image/3e15d9e5fcce7712caa3ca96f4b473595184b846,640,320,https://i.scdn.co/image/127125e88f5eb4cb962bd06f4e4215e56c1ab47f,320,160,https://i.scdn.co/image/ba37858a5f815eb3b10da4981dbb4a741bf1fe3a,160,Jessie J,76,artist,spotify:artist:2gsggkzM5R49q6jpPvazou,,,,
https://open.spotify.com/artist/6wPhSqRtPu1UhRCDX5yaDJ,,4230613,dance pop,girl group,pop,pop rap,post-teen pop,urban contemporary,,https://api.spotify.com/v1/artists/6wPhSqRtPu1UhRCDX5yaDJ,6wPhSqRtPu1UhRCDX5yaDJ,640,https://i.scdn.co/image/15793cac497b87ee337ed77a85b7896c23ae2b15,640,320,https://i.scdn.co/image/ba4d36d340214cb25b0a79ee0b93672c50450750,320,160,https://i.scdn.co/image/201f68d44574e836ac0bcd808261b46a2ff1142a,160,The Pussycat Dolls,74,artist,spotify:artist:6wPhSqRtPu1UhRCDX5yaDJ,,,,
https://open.spotify.com/artist/3r17AfJCCUqC9Lf0OAc73G,,4391354,dance pop,pop,post-teen pop,urban contemporary,,,,https://api.spotify.com/v1/artists/3r17AfJCCUqC9Lf0OAc73G,3r17AfJCCUqC9Lf0OAc73G,640,https://i.scdn.co/image/8f3351450c30b08da0fcfc9a7c317570b6bb291d,640,320,https://i.scdn.co/image/ca659033a3fa16d89414cc895b155b2f5883f018,320,160,https://i.scdn.co/image/63b54537b124e1f4f99f6b8b12202615eabef01f,160,Fergie,74,artist,spotify:artist:3r17AfJCCUqC9Lf0OAc73G,,,,
https://open.spotify.com/artist/4yiQZ8tQPux8cPriYMWUFP,,4611841,dance pop,hip pop,pop,post-teen pop,urban contemporary,,,https://api.spotify.com/v1/artists/4yiQZ8tQPux8cPriYMWUFP,4yiQZ8tQPux8cPriYMWUFP,640,https://i.scdn.co/image/85a848ab7b9280082b13db82ac875c6a8c81c912,640,320,https://i.scdn.co/image/e114e6bf5b8ac00d7f68bb6ed94fb24c8845264e,320,160,https://i.scdn.co/image/d2c0967c7e0b864d56188cb71115eee966da4e4a,160,Gwen Stefani,78,artist,spotify:artist:4yiQZ8tQPux8cPriYMWUFP,,,,
https://open.spotify.com/artist/1KCSPY1glIKqW2TotWuXOR,,10761589,dance pop,pop,post-teen pop,,,,,https://api.spotify.com/v1/artists/1KCSPY1glIKqW2TotWuXOR,1KCSPY1glIKqW2TotWuXOR,640,https://i.scdn.co/image/afc2d276d9c1b398d4f1048c20584f926296b9c0,640,320,https://i.scdn.co/image/0bbf030d5fbc44787fa641733e810cd1b928c230,320,160,https://i.scdn.co/image/55019ce117b4ddb39caf51e589df6675905fd1b5,160,P!nk,86,artist,spotify:artist:1KCSPY1glIKqW2TotWuXOR,,,,
https://open.spotify.com/artist/6LqNN22kT3074XbTVUrhzX,,6303604,dance pop,electropop,pop,post-teen pop,,,,https://api.spotify.com/v1/artists/6LqNN22kT3074XbTVUrhzX,6LqNN22kT3074XbTVUrhzX,640,https://i.scdn.co/image/282055081bba71c1f715c6459de13d12fb4373d5,640,320,https://i.scdn.co/image/1ff77be1c42cfacecbcb22b6965e8ae9c39c0c12,320,160,https://i.scdn.co/image/ceff67562edd8f597d3cfc0d607c438960944b0d,160,Kesha,81,artist,spotify:artist:6LqNN22kT3074XbTVUrhzX,,,,
https://open.spotify.com/artist/0p4nmQO2msCgU4IF37Wi3j,,7117206,canadian pop,candy pop,dance pop,pop,post-teen pop,,,https://api.spotify.com/v1/artists/0p4nmQO2msCgU4IF37Wi3j,0p4nmQO2msCgU4IF37Wi3j,640,https://i.scdn.co/image/be5a4056eb50c465291d6c2334322cc1c7b3a0dc,640,320,https://i.scdn.co/image/94ec2e6091591313e91848e641fb85bc11bcf6d7,320,160,https://i.scdn.co/image/d63237906fdd5296dc20ddb9d23be2ebb8f20c13,160,Avril Lavigne,80,artist,spotify:artist:0p4nmQO2msCgU4IF37Wi3j,,,,
https://open.spotify.com/artist/1l8Fu6IkuTP0U5QetQJ5Xt,,12526680,dance pop,electropop,girl group,pop,post-teen pop,talent show,,https://api.spotify.com/v1/artists/1l8Fu6IkuTP0U5QetQJ5Xt,1l8Fu6IkuTP0U5QetQJ5Xt,640,https://i.scdn.co/image/c5e2e813755c107d8f4b068ec1001ea0f91409f1,640,320,https://i.scdn.co/image/41935c973086a4e4ad47dfda8914eb4a4aca1423,320,160,https://i.scdn.co/image/27a42ab5ba14d9d941aa6801ce2e85806d6f9b32,160,Fifth Harmony,75,artist,spotify:artist:1l8Fu6IkuTP0U5QetQJ5Xt,,,,
https://open.spotify.com/artist/7o95ZoZt5ZYn31e9z1Hc0a,,1205381,dance pop,europop,neo mellow,pop,pop rap,pop rock,post-teen pop,https://api.spotify.com/v1/artists/7o95ZoZt5ZYn31e9z1Hc0a,7o95ZoZt5ZYn31e9z1Hc0a,640,https://i.scdn.co/image/980befa9b0f49cfdf4eb9a4b891039d26a35afda,640,320,https://i.scdn.co/image/337782cccd4e89029611b4c8f32f9af765273aed,320,160,https://i.scdn.co/image/1f97c8af4ee251970b19ec7cc1b6d8cb80e9bb6f,160,Natasha Bedingfield,70,artist,spotify:artist:7o95ZoZt5ZYn31e9z1Hc0a,,,,
https://open.spotify.com/artist/6S2OmqARrzebs0tKUEyXyp,,19568923,dance pop,pop,post-teen pop,,,,,https://api.spotify.com/v1/artists/6S2OmqARrzebs0tKUEyXyp,6S2OmqARrzebs0tKUEyXyp,640,https://i.scdn.co/image/9a0055f65c4f9e6d58dd480ecf6ecc7ecfb2e90a,640,320,https://i.scdn.co/image/781d06e6535817d37b0f0d28c40a79a6e67d7f96,320,160,https://i.scdn.co/image/1814f3dd6934c7b472907e679a6bac01aaaf3903,160,Demi Lovato,89,artist,spotify:artist:6S2OmqARrzebs0tKUEyXyp,,,,
https://open.spotify.com/artist/2S9W9aSAd7e5mp8WqWxN2h,,1818336,dance pop,pop,post-teen pop,,,,,https://api.spotify.com/v1/artists/2S9W9aSAd7e5mp8WqWxN2h,2S9W9aSAd7e5mp8WqWxN2h,563,https://i.scdn.co/image/2b46c43a2c8d3af23f3183299c2070c2d42ad039,1000,360,https://i.scdn.co/image/df2f2f41ff8aa1f1d24c12a5e0c96fd66b3a975e,640,113,https://i.scdn.co/image/d08392366ca41c605b91c88d933925932a007a92,200,Hilary Duff,60,artist,spotify:artist:2S9W9aSAd7e5mp8WqWxN2h,36,https://i.scdn.co/image/39b33c98173f680cb6c2a4eea3d7e8823017fb2f,64,
https://open.spotify.com/artist/7nU4hB040gTmHm45YYMvqc,,3340223,dance pop,pop,post-teen pop,social media pop,,,,https://api.spotify.com/v1/artists/7nU4hB040gTmHm45YYMvqc,7nU4hB040gTmHm45YYMvqc,1096,https://i.scdn.co/image/1bb652996764243c1d963008898de2ab514b4796,822,853,https://i.scdn.co/image/0f08574233467fe4e5ffb889ece10b9c0868610e,640,267,https://i.scdn.co/image/21dafec9d875038f5d2dbaa842ef37422a84b3aa,200,Hannah Montana,69,artist,spotify:artist:7nU4hB040gTmHm45YYMvqc,85,https://i.scdn.co/image/473d0d85a8aae2366ec20819419462487a190152,64,
https://open.spotify.com/artist/4m4SfDVbF5wxrwEjDKgi4k,,2345499,dance pop,electropop,pop,post-teen pop,social media pop,talent show,viral pop,https://api.spotify.com/v1/artists/4m4SfDVbF5wxrwEjDKgi4k,4m4SfDVbF5wxrwEjDKgi4k,640,https://i.scdn.co/image/2f79bd36afff7e517a3011e719f4a34e909f60d6,640,320,https://i.scdn.co/image/cd6494bc3819270d30806af8ea3927a492480864,320,160,https://i.scdn.co/image/8903dfd9a575921009ef5c677b8c7e9a8d2a03f8,160,Cher Lloyd,67,artist,spotify:artist:4m4SfDVbF5wxrwEjDKgi4k,,,,
https://open.spotify.com/artist/5YGY8feqx7naU7z4HrwZM6,,14805076,dance pop,pop,post-teen pop,,,,,https://api.spotify.com/v1/artists/5YGY8feqx7naU7z4HrwZM6,5YGY8feqx7naU7z4HrwZM6,640,https://i.scdn.co/image/f040656afb8bc16cd44781dd39ea3d02184f5c0f,640,320,https://i.scdn.co/image/8d15c82eaf82ee38af11c2d755293ba6fb2ea036,320,160,https://i.scdn.co/image/8a303968e21579c92c2c1e9c811e0578c401423e,160,Miley Cyrus,88,artist,spotify:artist:5YGY8feqx7naU7z4HrwZM6,,,,
https://open.spotify.com/artist/26dSoYclwsYLMAKD3tpOr4,,8895247,dance pop,pop,post-teen pop,,,,,https://api.spotify.com/v1/artists/26dSoYclwsYLMAKD3tpOr4,26dSoYclwsYLMAKD3tpOr4,640,https://i.scdn.co/image/88b5417c1aef3bbdff1889714136deb5ea310ab8,640,320,https://i.scdn.co/image/8bafec3ea590b2b4d5b25b01e8adb49bac451929,320,160,https://i.scdn.co/image/e78a6b30e56481315a4c37c8da8bc195ba2613dc,160,Britney Spears,85,artist,spotify:artist:26dSoYclwsYLMAKD3tpOr4,,,,
https://open.spotify.com/artist/7gOdHgIoIKoe4i9Tta6qdD,,5158107,boy band,dance pop,pop,pop rock,post-teen pop,,,https://api.spotify.com/v1/artists/7gOdHgIoIKoe4i9Tta6qdD,7gOdHgIoIKoe4i9Tta6qdD,640,https://i.scdn.co/image/81415a47bf49148ed333cba4765551f4da5d7d30,640,320,https://i.scdn.co/image/6d1d65eef0d6726f6b2f3264a7d597c83d1ff1bc,320,160,https://i.scdn.co/image/25de8d7196ae80ff57aafbb630544e029dcff2bc,160,Jonas Brothers,80,artist,spotify:artist:7gOdHgIoIKoe4i9Tta6qdD,,,,
https://open.spotify.com/artist/0SCbttzoZTnLFebDYmAWCm,,1373780,glee club,hollywood,post-teen pop,,,,,https://api.spotify.com/v1/artists/0SCbttzoZTnLFebDYmAWCm,0SCbttzoZTnLFebDYmAWCm,450,https://i.scdn.co/image/5b5a95f260ac429405e871777e3c17c9126c30ad,600,150,https://i.scdn.co/image/446aee35047292c4ba3e57e83ef97e6a9ffea669,200,48,https://i.scdn.co/image/ba0a93f82502495617bc233f726b0debed5c43d9,64,Glee Cast,79,artist,spotify:artist:0SCbttzoZTnLFebDYmAWCm,,,,
https://open.spotify.com/artist/2AQjGvtT0pFYfxR3neFcvz,,1738647,dance pop,pop,pop rap,pop rock,post-teen pop,r&b,urban contemporary,https://api.spotify.com/v1/artists/2AQjGvtT0pFYfxR3neFcvz,2AQjGvtT0pFYfxR3neFcvz,640,https://i.scdn.co/image/67c0578bd64b4634e0d3f07c1c4e3772d138cf9d,640,320,https://i.scdn.co/image/2b449bc53fb898b9035c31c7842c0f3b4fa6fd66,320,160,https://i.scdn.co/image/e4e6c4dd812b8c720ea077505938f7e5a0f52809,160,Jordin Sparks,67,artist,spotify:artist:2AQjGvtT0pFYfxR3neFcvz,,,,viral pop
,,,,,,,,,,,,,,,,,,,,,Katy Perry,87,,,,,,